Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2018-09-05,MTNGH,0.75,0.75,0.75,0.75,0.75,0.75,0.0,5007600.0,
2018-09-06,MTNGH,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,
2018-09-07,MTNGH,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,
2018-09-10,MTNGH,0.75,0.75,0.75,0.75,0.75,0.75,0.0,720000.0,
2018-09-11,MTNGH,0.76,0.75,0.75,0.75,0.77,0.76,0.01,565900.0,
2018-09-12,MTNGH,0.76,0.75,0.76,0.76,0.77,0.76,0.0,3000.0,
2018-09-13,MTNGH,0.77,0.75,0.76,0.76,0.77,0.77,0.01,156800.0,
2018-09-14,MTNGH,0.78,0.75,0.77,0.77,0.78,0.78,0.01,266000.0,
2018-09-17,MTNGH,0.8,0.75,0.78,0.78,0.8,0.8,0.02,1311900.0,
2018-09-18,MTNGH,0.8,0.75,0.8,0.8,0.8,0.8,0.0,861900.0,
2018-09-19,MTNGH,0.8,0.75,0.8,0.82,0.84,0.8,0.0,154400.0,
2018-09-20,MTNGH,0.8,0.75,0.8,0.8,0.84,0.8,0.0,0.0,
2018-09-24,MTNGH,0.8,0.75,0.8,0.8,0.84,0.8,0.0,65000.0,
2018-09-25,MTNGH,0.84,0.75,0.8,0.8,0.84,0.84,0.04,1600.0,
2018-09-26,MTNGH,0.85,0.75,0.84,0.84,0.85,0.85,0.01,5500.0,
2018-09-27,MTNGH,0.85,0.75,0.85,0.85,0.85,0.85,0.0,0.0,
2018-09-28,MTNGH,0.88,0.75,0.85,0.85,0.88,0.88,0.03,4600.0,
2018-10-01,MTNGH,0.88,0.75,0.88,0.88,0.93,0.91,0.03,204200.0,
2018-10-02,MTNGH,0.92,0.75,0.91,0.91,0.92,0.92,0.01,115900.0,
2018-10-03,MTNGH,0.92,0.75,0.92,0.92,0.9,0.9,-0.02,1643300.0,
2018-10-04,MTNGH,0.92,0.75,0.9,0.9,0.9,0.9,0.0,1137000.0,
2018-10-05,MTNGH,0.93,0.75,0.9,0.9,0.92,0.93,0.03,2000.0,
2018-10-08,MTNGH,0.93,0.75,0.93,0.93,0.92,0.93,0.0,5600.0,
2018-10-09,MTNGH,0.93,0.75,0.93,0.93,0.92,0.93,0.0,210600.0,
2018-10-10,MTNGH,0.93,0.75,0.93,0.93,0.92,0.92,-0.01,5200.0,
2018-10-11,MTNGH,0.93,0.75,0.92,0.92,0.9,0.93,0.01,17000.0,
2018-10-12,MTNGH,0.93,0.75,0.93,0.93,0.92,0.91,-0.02,2100.0,
2018-10-15,MTNGH,0.93,0.75,0.91,0.91,0.9,0.9,-0.01,6900.0,
