Epoch,Train Loss,Validation Loss,MAE,RMSE,MAPE,R2,Learning Rate
1,0.14843406557644667,0.9482588768005371,0.8291875123977661,0.9061153574927916,32.304478,-3.5186572074890137,0.001
2,0.01292291036071746,0.6433978099375963,0.6495076417922974,0.7369852144422285,24.892603,-1.989234447479248,0.001
3,0.011296455785141964,0.5342469045426697,0.581328272819519,0.6688920494092404,22.157843,-1.462376594543457,0.001
4,0.009513039019350944,0.5336618949659169,0.5903205871582031,0.6706444094178658,22.631527,-1.4752953052520752,0.001
5,0.008301745554873426,0.5350680812261999,0.5983462929725647,0.6737993317132831,23.031668,-1.4986393451690674,0.001
6,0.008777499535905295,0.44291411712765694,0.5346529483795166,0.6108050561355887,20.466253,-1.0532774925231934,0.001
7,0.007684801558130666,0.522412390448153,0.6098273396492004,0.6708890644956839,23.737,-1.4771015644073486,0.001
8,0.00829770916913587,0.4775621243752539,0.5641728043556213,0.6358482869999212,21.725107,-1.2250995635986328,0.001
9,0.007337277344624071,0.41913572140038013,0.5144461393356323,0.591731480173672,19.644766,-0.9270445108413696,0.001
10,0.006659340211435368,0.3930721366778016,0.4885128438472748,0.5707583839980388,18.54044,-0.7928626537322998,0.001
11,0.006578957864181383,0.4851140547543764,0.5714694857597351,0.6410195833464035,22.054968,-1.261439561843872,0.001
12,0.006553609457210098,0.4967421512119472,0.582938015460968,0.6498791169588114,22.551954,-1.3243823051452637,0.001
13,0.007051501080001655,0.37364283413626254,0.479615718126297,0.5567884550050745,18.259264,-0.7061721086502075,0.001
14,0.006459438713806632,0.3695531324483454,0.46960726380348206,0.5518609684751279,17.783035,-0.6761071681976318,0.001
15,0.006156055860245894,0.3539558395277709,0.4582724869251251,0.5394232275520762,17.349157,-0.6014068126678467,0.001
16,0.005976104891344316,0.3659090483561158,0.4710375666618347,0.5501677159872663,17.884912,-0.665837287902832,0.001
17,0.00575229300088004,0.266100546985399,0.3675979673862457,0.46199547854601397,13.590474,-0.1746753454208374,0.001
18,0.005423624221676667,0.3408426456153393,0.4611683487892151,0.5323888688691474,17.623882,-0.559912919998169,0.001
19,0.006231534536805396,0.3606863075401634,0.469984769821167,0.5469980101523043,17.880589,-0.6466977596282959,0.001
20,0.006351392115711381,0.3448329174425453,0.44478094577789307,0.5306292160549648,16.75025,-0.5496182441711426,0.001
21,0.005785276993839561,0.45866567455232143,0.5456625819206238,0.6205190482846872,20.928064,-1.1191058158874512,0.001
22,0.0051940233066776085,0.5117316888645291,0.5870499014854431,0.658247609432239,22.645044,-1.3846299648284912,0.001
23,0.005560050758312603,0.5088398442603648,0.5864335894584656,0.6569408685704721,22.635504,-1.375171422958374,0.001
24,0.004546702704637458,0.44823072385042906,0.5425143837928772,0.6144733384403446,20.85164,-1.0780141353607178,0.0005
25,0.01976994361336294,0.3949778920505196,0.4906538128852844,0.5718733448775891,18.637465,-0.7998740673065186,0.0005
26,0.006010606089962255,0.41822642367333174,0.5193564295768738,0.5918837883205181,19.916086,-0.9280366897583008,0.0005
27,0.0047625408746841316,0.333232868462801,0.4355376958847046,0.5213907564974647,16.380434,-0.49612903594970703,0.0005
